config,K,N,wall_s,sum_out_raw_mib,sum_out_disk_mib,agg_raw_mibps,agg_disk_mibps,per_inst_fill_ms_med
file,1,1000000,18.9,9487.6,9487.6,501.9,501.9,18853
file,4,1000000,19.4,37950.4,37950.4,1957.8,1957.8,19244
file,7,1000000,19.8,66413.2,66413.2,3356.3,3356.3,19450
file,10,1000000,19.9,94876.0,94876.0,4771.6,4771.6,19670
file,14,1000000,21.4,132826.4,132826.4,6199.4,6199.4,19930
file,20,1000000,20.7,189752.0,189752.0,9159.3,9159.3,20332
lz4-file,1,1000000,32.7,9487.6,1722.9,289.7,52.6,32719
lz4-file,4,1000000,32.9,37950.4,6891.6,1153.8,209.5,32016
lz4-file,7,1000000,33.5,66413.2,12060.3,1979.7,359.5,32574
lz4-file,10,1000000,34.4,94876.0,17229.0,2759.4,501.1,33871
lz4-file,14,1000000,34.7,132826.4,24120.6,3828.1,695.1,34074
lz4-file,20,1000000,36.1,189752.0,34458.0,5253.3,953.9,33953
