mode,threads,total_ts,cap,wall_s,fill_ms,phys_io_gib,peak_scratch_mib,status
pager-swap,1,8000000,180M,285,283777,40.1,21696,OK
pager-swap,2,8000000,180M,201,200572,50.8,21696,OK
pager-swap,4,8000000,180M,111,110870,51.4,21696,OK
pager-swap,8,8000000,180M,71,71301,58.9,21696,OK
pager-swap,16,8000000,180M,69,68679,79.2,21696,OK
pager-swap,32,8000000,180M,93,92870,117.3,21696,OK
pager-file,1,8000000,180M,379,378904,58.2,28327,OK
pager-file,2,8000000,180M,204,203783,62.7,28245,OK
pager-file,4,8000000,180M,97,97149,62.3,28220,OK
pager-file,8,8000000,180M,61,60711,62.0,28315,OK
pager-file,16,8000000,180M,54,54133,65.8,28329,OK
pager-file,32,8000000,180M,63,62946,88.3,28253,OK
lz4-swap,1,8000000,180M,377,375970,5.9,21696,OK
lz4-swap,2,8000000,180M,187,186766,7.8,21697,OK
lz4-swap,4,8000000,180M,89,89267,8.2,21697,OK
lz4-swap,8,8000000,180M,46,46044,12.0,21697,OK
lz4-swap,16,8000000,180M,45,45227,42.0,21697,OK
lz4-swap,32,8000000,180M,83,82635,97.1,21697,OK
lz4-file,1,8000000,180M,530,530241,9.9,22889,OK
lz4-file,2,8000000,180M,263,262978,10.3,22891,OK
lz4-file,4,8000000,180M,119,118751,9.9,22890,OK
lz4-file,8,8000000,180M,54,53514,11.1,22865,OK
lz4-file,16,8000000,180M,35,34633,29.7,22886,OK
lz4-file,32,8000000,180M,56,56337,62.1,22891,OK
baseline-swap,1,8000000,180M,615,613881,42.0,21698,OK
baseline-swap,2,8000000,180M,287,286891,49.3,21698,OK
baseline-swap,4,8000000,180M,127,126636,49.2,21698,OK
baseline-swap,8,8000000,180M,73,72912,51.6,21698,OK
baseline-swap,16,8000000,180M,60,59919,61.8,21698,OK
baseline-swap,32,8000000,180M,72,71529,78.7,21698,OK
