mode,threads,total_ts,cap,wall_s,fill_ms,drain_ms,phys_io_gib,peak_scratch_mib,status
pager-swap,1,2000000,180M,1402,59839,1342587,8.2,21697,OK
pager-swap,8,2000000,180M,172,11986,159898,11.7,21697,OK
pager-swap,16,2000000,180M,96,10303,86116,18.9,21697,OK
lz4-file,1,2000000,180M,1438,113897,1324214,1.7,21986,OK
lz4-file,8,2000000,180M,169,9360,159780,3.0,21978,OK
lz4-file,16,2000000,180M,93,7369,86043,8.3,21966,OK
pager-file,1,2000000,180M,1392,69355,1322307,11.9,23291,OK
pager-file,8,2000000,180M,176,13294,162226,15.2,23249,OK
pager-file,16,2000000,180M,100,12307,87576,29.0,23235,OK
lz4-swap,1,2000000,180M,1426,78930,1346916,1.4,21697,OK
lz4-swap,8,2000000,180M,174,8624,165802,3.4,21697,OK
lz4-swap,16,2000000,180M,101,8350,92472,14.2,21697,OK
baseline-swap,1,2000000,180M,1479,113385,1365575,8.2,21698,OK
baseline-swap,8,2000000,180M,175,13010,161868,11.3,21698,OK
baseline-swap,16,2000000,180M,93,9867,83231,13.9,21698,OK
